Average RMSE,Parameters
4.1821528796,"{Param(parent=u'RandomForestRegressor_8506e558c566', name='numTrees', doc='Number of trees to train (>= 1).'): 10, Param(parent=u'RandomForestRegressor_8506e558c566', name='maxDepth', doc='Maximum depth of the tree. (>= 0) E.g., depth 0 means 1 leaf node; depth 1 means 1 internal node + 2 leaf nodes.'): 5}"
4.16596159184,"{Param(parent=u'RandomForestRegressor_8506e558c566', name='numTrees', doc='Number of trees to train (>= 1).'): 10, Param(parent=u'RandomForestRegressor_8506e558c566', name='maxDepth', doc='Maximum depth of the tree. (>= 0) E.g., depth 0 means 1 leaf node; depth 1 means 1 internal node + 2 leaf nodes.'): 10}"
4.1959677472,"{Param(parent=u'RandomForestRegressor_8506e558c566', name='numTrees', doc='Number of trees to train (>= 1).'): 10, Param(parent=u'RandomForestRegressor_8506e558c566', name='maxDepth', doc='Maximum depth of the tree. (>= 0) E.g., depth 0 means 1 leaf node; depth 1 means 1 internal node + 2 leaf nodes.'): 20}"
4.18043228793,"{Param(parent=u'RandomForestRegressor_8506e558c566', name='numTrees', doc='Number of trees to train (>= 1).'): 20, Param(parent=u'RandomForestRegressor_8506e558c566', name='maxDepth', doc='Maximum depth of the tree. (>= 0) E.g., depth 0 means 1 leaf node; depth 1 means 1 internal node + 2 leaf nodes.'): 5}"
4.16439705337,"{Param(parent=u'RandomForestRegressor_8506e558c566', name='numTrees', doc='Number of trees to train (>= 1).'): 20, Param(parent=u'RandomForestRegressor_8506e558c566', name='maxDepth', doc='Maximum depth of the tree. (>= 0) E.g., depth 0 means 1 leaf node; depth 1 means 1 internal node + 2 leaf nodes.'): 10}"
4.18956390145,"{Param(parent=u'RandomForestRegressor_8506e558c566', name='numTrees', doc='Number of trees to train (>= 1).'): 20, Param(parent=u'RandomForestRegressor_8506e558c566', name='maxDepth', doc='Maximum depth of the tree. (>= 0) E.g., depth 0 means 1 leaf node; depth 1 means 1 internal node + 2 leaf nodes.'): 20}"
4.18054135077,"{Param(parent=u'RandomForestRegressor_8506e558c566', name='numTrees', doc='Number of trees to train (>= 1).'): 30, Param(parent=u'RandomForestRegressor_8506e558c566', name='maxDepth', doc='Maximum depth of the tree. (>= 0) E.g., depth 0 means 1 leaf node; depth 1 means 1 internal node + 2 leaf nodes.'): 5}"
4.16376756092,"{Param(parent=u'RandomForestRegressor_8506e558c566', name='numTrees', doc='Number of trees to train (>= 1).'): 30, Param(parent=u'RandomForestRegressor_8506e558c566', name='maxDepth', doc='Maximum depth of the tree. (>= 0) E.g., depth 0 means 1 leaf node; depth 1 means 1 internal node + 2 leaf nodes.'): 10}"
4.1892953908,"{Param(parent=u'RandomForestRegressor_8506e558c566', name='numTrees', doc='Number of trees to train (>= 1).'): 30, Param(parent=u'RandomForestRegressor_8506e558c566', name='maxDepth', doc='Maximum depth of the tree. (>= 0) E.g., depth 0 means 1 leaf node; depth 1 means 1 internal node + 2 leaf nodes.'): 20}"
